#-----------------------------------------------------------
# xsim v2022.1 (64-bit)
# SW Build 3526262 on Mon Apr 18 15:47:01 MDT 2022
# IP Build 3524634 on Mon Apr 18 20:55:01 MDT 2022
# Start of session at: Sat Nov 22 11:17:12 2025
# Process ID: 1432632
# Current directory: /home/m7malhot/e3mehta-pd6/build/output
# Command line: xsim -mode tcl -source {xsim.dir/tb/xsim_script.tcl}
# Log file: /home/m7malhot/e3mehta-pd6/build/output/xsim.log
# Journal file: /home/m7malhot/e3mehta-pd6/build/output/xsim.jou
# Running On: eceubuntu1, OS: Linux, CPU Frequency: 2300.030 MHz, CPU Physical cores: 6, Host memory: 67266 MB
#-----------------------------------------------------------
source xsim.dir/tb/xsim_script.tcl
# xsim {tb} -autoloadwcfg -tclbatch {/home/m7malhot/e3mehta-pd6/build/scripts/xsim.tcl}
Time resolution is 1 ps
source /home/m7malhot/e3mehta-pd6/build/scripts/xsim.tcl
## run 2000ns
Simulation started.
Final transfer at 01000590
[W] 00000000 0 00 00000000
[W] 00000000 0 00 00000000
[W] 00000000 0 00 00000000
[W] 01000000 1 01 00000000
[W] 01000004 1 01 00000000
[W] 01000008 1 02 00000000
[W] 0100000c 1 1e 00000000
[W] 01000010 1 1d 00000000
[W] 01000014 1 03 00000002
[W] 01000018 0 00 00000000
[W] 01000018 0 00 00000000
[W] 01000018 0 0c 010004e4
[W] 0100001c 1 01 00000001
[W] 01000020 1 02 00000001
[W] 01000024 1 1e 00000002
[W] 01000028 1 1d 00000002
[W] 0100002c 1 03 00000003
[W] 01000030 0 00 00000000
[W] 01000030 0 00 00000000
[W] 01000030 0 14 010004e4
[W] 01000034 1 01 00000003
[W] 01000038 1 02 00000007
[W] 0100003c 1 1e 0000000a
[W] 01000040 1 1d 0000000a
[W] 01000044 1 03 00000004
[W] 01000048 0 00 00000000
[W] 01000048 0 00 00000000
[W] 01000048 0 1c 010004e4
[W] 0100004c 1 01 00000000
[W] 01000050 1 02 ffff8000
[W] 01000054 1 1e ffff8000
[W] 01000058 1 1d ffff8000
[W] 0100005c 1 03 00000005
[W] 01000060 0 00 00000000
[W] 01000060 0 00 00000000
[W] 01000060 0 04 010004e4
[W] 01000064 1 01 80000000
[W] 01000068 1 02 00000000
[W] 0100006c 1 1e 80000000
[W] 01000070 1 1d 80000000
[W] 01000074 1 03 00000006
[W] 01000078 0 00 00000000
[W] 01000078 0 00 00000000
[W] 01000078 0 0c 010004e4
[W] 0100007c 1 01 80000000
[W] 01000080 1 02 ffff8000
[W] 01000084 1 1e 7fff8000
[W] 01000088 1 1d 7fff8000
[W] 0100008c 1 03 00000007
[W] 01000090 0 00 00000000
[W] 01000090 0 00 00000000
[W] 01000090 0 14 010004e4
[W] 01000094 1 01 00000000
[W] 01000098 1 02 00008000
[W] 0100009c 1 02 00007fff
[W] 010000a0 0 00 00000000
[W] 010000a0 1 1e 00007fff
[W] 010000a4 1 1d 00008000
[W] 010000a8 1 1d 00007fff
[W] 010000ac 1 03 00000008
[W] 010000b0 0 14 010004e4
[W] 010000b4 0 00 00000000
[W] 010000b8 0 00 00000000
[W] 010004e4 1 02 00000000
[W] 010004e8 0 00 010004e8
[W] 010004ec 0 00 00000000
[W] 010004f0 0 00 00000000
[W] 010004e8 0 00 00000000
[W] 010004ec 1 03 00000000
[W] 010004f0 1 03 00000001
[W] 010004f4 0 00 00000000
[W] 010004f8 0 00 00000000
[W] 010004fc 1 03 00000001
[W] 01000500 0 00 00000000
[W] 01000504 0 00 00000000
[W] 01000508 0 00 00000000
[W] 0100050c 0 00 00000000
[W] 01000510 0 00 00000000
[W] 01000514 0 00 00000000
[W] 01000518 0 00 00000000
[W] 0100051c 0 00 00000000
[W] 01000520 0 00 00000000
[W] 01000524 0 00 00000000
[W] 01000528 0 00 00000000
[W] 0100052c 0 00 00000000
[W] 01000530 0 00 00000000
[W] 01000534 0 00 00000000
[W] 01000538 0 00 00000000
